Province,District,Sector,School_Name,Year,Male_Dropout_Percentage,Female_Dropout_Percentage,Overall_Dropout_Percentage,Completion_Male,Completion_Female,Completion_Total,Reenrollment_Rate,Attendance_Rate,Avg_Household_Income_RWF,Teacher_Student_Ratio,Latitude,Longitude
Kigali,Gasabo,Jabana,New Vision,2021,18.15,8.97,13.56,78.06,69.15,73.6,14.43,98.87,258338,1:40,-2.12583,30.90143
Kigali,Gasabo,Kimihurura,GS Akumunigo,2022,7.84,8.43,8.13,52.02,85.53,68.78,0.63,64.44,123419,1:40,-2.12583,30.90143
Kigali,Gasabo,Nduba,GS Mubuga,2023,19.46,10.12,14.79,75.43,95.38,85.4,18.86,69.97,549260,1:40,-2.12583,30.90143
Kigali,Gasabo,Remera,GS Akumunigo,2024,18.37,21.15,19.76,94.02,81.22,87.62,9.13,71.83,209556,1:40,-2.12583,30.90143
Kigali,Gasabo,Kimihurura,GS Rukomo,2010,16.64,24.42,20.53,94.8,65.9,80.35,16.36,64.4,228376,1:59,-2.40681,29.83302
Kigali,Gasabo,Bumbogo,GS Rukomo,2011,25.96,1.2,13.58,75.54,70.87,73.2,18.86,68.88,591314,1:59,-2.40681,29.83302
Kigali,Gasabo,Bumbogo,GS Kimironko II,2012,10.37,16.04,13.21,85.15,68.18,76.67,9.94,98.87,293075,1:59,-2.40681,29.83302
Kigali,Gasabo,Rusororo,GS Mweya,2013,9.73,9.26,9.49,51.84,80.48,66.16,5.57,80.11,474325,1:59,-2.40681,29.83302
Kigali,Gasabo,Gikomero,GS Migongo,2014,27.34,7.95,17.64,57.24,74.47,65.86,13.44,99.43,580671,1:59,-2.40681,29.83302
Kigali,Gasabo,Nduba,GS Gahanga I,2015,23.09,7.89,15.49,86.41,68.39,77.4,10.72,85.29,558949,1:59,-2.40681,29.83302
Kigali,Gasabo,Jali,GS Kinteko,2016,3.62,25.22,14.42,66.04,59.33,62.68,0.33,61.63,411955,1:59,-2.40681,29.83302
Kigali,Gasabo,Ndera,GS Akumunigo,2017,15.85,7.57,11.71,82.26,58.72,70.49,18.73,87.64,171295,1:59,-2.40681,29.83302
Kigali,Gasabo,Gikomero,GS Camp Kigali,2018,4.99,10.89,7.94,55.67,96.23,75.95,13.2,95.09,130306,1:59,-2.40681,29.83302
Kigali,Gasabo,Remera,Mater Dei,2019,24.7,17.1,20.9,76.48,62.09,69.29,17.65,63.72,383076,1:59,-2.40681,29.83302
Kigali,Gasabo,Kacyiru,GS Nyacyina,2020,6.47,9.09,7.78,85.02,92.33,88.68,17.76,94.25,483029,1:59,-2.40681,29.83302
Kigali,Gasabo,Kacyiru,GS Nyacyina,2021,25.68,28.13,26.91,89.27,83.45,86.36,13.27,83.23,488207,1:59,-2.40681,29.83302
Kigali,Gasabo,Remera,GS Mweya,2022,1.15,5.66,3.41,77.44,84.59,81.02,14.24,86.08,212296,1:59,-2.40681,29.83302
Kigali,Gasabo,Gisozi,GS Migongo,2023,7.88,10.44,9.16,87.32,82.48,84.9,10.85,93.97,186416,1:59,-2.40681,29.83302
Kigali,Gasabo,Kinyinya,GS Matara,2024,15.76,19.45,17.6,62.52,79.49,71.01,18.12,99.16,305362,1:59,-2.40681,29.83302
Kigali,Gasabo,Gatsata,GS Rwamagana,2010,17.73,15.28,16.51,59.76,86.12,72.94,0.87,71.23,202946,1:30,-2.01809,29.70016
Kigali,Gasabo,Gikomero,Marie Merci,2011,29.84,14.63,22.24,63.98,94.17,79.08,6.62,89.91,395972,1:30,-2.01809,29.70016
Kigali,Gasabo,Rusororo,GS Mweya,2012,17.03,17.6,17.31,99.02,53.77,76.39,5.37,72.23,594495,1:30,-2.01809,29.70016
Kigali,Gasabo,Kimihurura,GS Cyahafi,2013,15.07,11.81,13.44,69.73,92.21,80.97,4.18,97.2,545101,1:30,-2.01809,29.70016
Kigali,Gasabo,Kacyiru,GS Nyacyina,2014,20.46,11.4,15.93,62.71,64.76,63.74,2.73,72.9,258823,1:30,-2.01809,29.70016
Kigali,Gasabo,Gatsata,King David,2015,21.56,17.03,19.3,64.83,70.99,67.91,10.03,70.25,372791,1:30,-2.01809,29.70016
Kigali,Gasabo,Rusororo,GS Rukomo,2016,24.15,19.85,22.0,85.1,89.79,87.44,1.88,95.6,548982,1:30,-2.01809,29.70016
Kigali,Gasabo,Jabana,GS Rutongo,2017,17.77,2.04,9.91,73.28,77.13,75.21,5.01,71.46,155609,1:30,-2.01809,29.70016
Kigali,Gasabo,Bumbogo,GS Ruramira,2018,2.13,9.79,5.96,76.85,66.33,71.59,9.15,93.11,351451,1:30,-2.01809,29.70016
Kigali,Gasabo,Rusororo,GS Rwamagana,2019,25.42,6.64,16.03,70.57,84.98,77.77,10.33,65.53,336175,1:30,-2.01809,29.70016
Kigali,Gasabo,Kimihurura,GS Rukomo,2020,10.37,24.06,17.21,63.54,71.95,67.75,1.62,63.14,452996,1:30,-2.01809,29.70016
Kigali,Gasabo,Kinyinya,GS Rutongo,2021,13.42,20.97,17.19,52.91,95.76,74.34,14.29,77.69,277247,1:30,-2.01809,29.70016
Kigali,Gasabo,Rutunga,GS Matara,2022,20.15,9.12,14.63,97.74,86.89,92.32,0.95,82.17,213429,1:30,-2.01809,29.70016
Kigali,Gasabo,Kinyinya,GS Camp Kigali,2023,17.42,5.6,11.51,56.01,67.09,61.55,6.23,63.67,275150,1:30,-2.01809,29.70016
Kigali,Gasabo,Kinyinya,New Vision,2024,29.41,6.08,17.75,50.86,88.17,69.51,9.29,92.28,584963,1:30,-2.01809,29.70016
Kigali,Gasabo,Gisozi,GS Mubuga,2010,19.42,2.31,10.87,68.73,81.29,75.01,13.17,80.13,291232,1:51,-1.63041,29.09612
Kigali,Gasabo,Rutunga,New Vision,2011,5.73,3.05,4.39,82.12,51.33,66.72,11.51,83.43,291962,1:51,-1.63041,29.09612
Kigali,Gasabo,Gatsata,GS Matara,2012,12.26,19.66,15.96,72.91,77.28,75.1,19.22,97.66,599522,1:51,-1.63041,29.09612
Kigali,Gasabo,Gikomero,GS Ruheru,2013,27.26,6.68,16.97,53.47,55.04,54.25,13.66,60.73,454802,1:51,-1.63041,29.09612
Kigali,Gasabo,Gisozi,New Vision,2014,3.06,10.25,6.66,92.24,51.16,71.7,13.86,92.58,382502,1:51,-1.63041,29.09612
Kigali,Gasabo,Kacyiru,GS Matara,2015,11.1,28.16,19.63,51.96,70.9,61.43,15.01,98.7,406569,1:51,-1.63041,29.09612
Kigali,Gasabo,Gisozi,ES Kigoma,2016,24.4,29.72,27.06,70.63,68.6,69.62,18.62,91.06,552247,1:51,-1.63041,29.09612
Kigali,Gasabo,Remera,GS Agataramo,2017,25.89,13.44,19.67,87.54,87.73,87.64,10.11,64.12,474032,1:51,-1.63041,29.09612
Kigali,Gasabo,Kimihurura,GS Mweya,2018,24.97,10.28,17.62,94.78,69.46,82.12,1.83,60.43,566152,1:51,-1.63041,29.09612
Kigali,Gasabo,Rusororo,GS Nyacyina,2019,10.26,28.55,19.41,97.53,78.67,88.1,5.86,85.27,449044,1:51,-1.63041,29.09612
Kigali,Gasabo,Ndera,GS Migongo,2020,10.53,20.5,15.52,87.62,89.58,88.6,9.89,91.58,184076,1:51,-1.63041,29.09612
Kigali,Gasabo,Gisozi,GS Ruramira,2021,2.67,16.94,9.8,72.08,94.39,83.23,15.23,74.04,106801,1:51,-1.63041,29.09612
Kigali,Gasabo,Bumbogo,GS Gitega,2022,18.93,3.93,11.43,54.21,85.05,69.63,1.63,62.91,455249,1:51,-1.63041,29.09612
Kigali,Gasabo,Gisozi,New Vision,2023,3.46,29.61,16.54,68.71,68.53,68.62,19.72,92.51,551070,1:51,-1.63041,29.09612
Kigali,Gasabo,Kacyiru,GS Rwanyanza,2024,22.85,11.91,17.38,54.18,88.86,71.52,2.22,82.34,218874,1:51,-1.63041,29.09612
Kigali,Gasabo,Jabana,GS Rwanyanza,2010,17.57,22.49,20.03,88.36,91.14,89.75,7.5,89.77,139298,1:57,-1.91327,29.02271
Kigali,Gasabo,Remera,GS Akumunigo,2011,9.29,26.19,17.74,61.18,98.16,79.67,0.87,60.49,229695,1:57,-1.91327,29.02271
Kigali,Gasabo,Kimironko,GS Mweya,2012,27.81,27.65,27.73,62.65,84.77,73.71,4.34,63.02,433870,1:57,-1.91327,29.02271
Kigali,Gasabo,Kimihurura,GS Nyacyina,2013,9.54,29.88,19.71,84.85,69.21,77.03,7.89,89.48,500330,1:57,-1.91327,29.02271
Kigali,Gasabo,Rutunga,GS Agataramo,2014,4.1,10.73,7.42,58.48,82.34,70.41,5.32,75.53,205787,1:57,-1.91327,29.02271
Kigali,Gasabo,Rusororo,Marie Merci,2015,11.45,8.54,9.99,72.66,51.62,62.14,12.06,71.19,417428,1:57,-1.91327,29.02271
Kigali,Gasabo,Gisozi,GS Ruramira,2016,8.86,4.86,6.86,53.81,97.03,75.42,8.36,76.67,563556,1:57,-1.91327,29.02271
Kigali,Gasabo,Gisozi,GS Rwamagana,2017,28.05,26.12,27.08,52.26,51.32,51.79,19.75,75.06,127712,1:57,-1.91327,29.02271
Kigali,Gasabo,Kimironko,Marie Merci,2018,5.36,18.23,11.8,69.04,98.5,83.77,9.37,93.68,408684,1:57,-1.91327,29.02271
Kigali,Gasabo,Gisozi,GS Mubuga,2019,13.03,8.93,10.98,52.82,93.24,73.03,19.93,92.52,460286,1:57,-1.91327,29.02271
Kigali,Gasabo,Gikomero,GS Kinteko,2020,17.11,23.3,20.2,97.24,92.48,94.86,2.58,69.89,549613,1:57,-1.91327,29.02271
Kigali,Gasabo,Kimihurura,King David,2021,28.67,18.58,23.62,61.43,83.59,72.51,0.44,84.73,136187,1:57,-1.91327,29.02271
Kigali,Gasabo,Kimihurura,Marie Merci,2022,15.45,14.81,15.13,91.57,65.39,78.48,1.77,92.66,436107,1:57,-1.91327,29.02271
Kigali,Gasabo,Kinyinya,ES Kigoma,2023,23.96,18.11,21.04,74.0,71.03,72.51,16.1,91.39,439853,1:57,-1.91327,29.02271
Kigali,Gasabo,Kinyinya,GS Rwamagana,2024,27.19,18.9,23.05,99.02,80.4,89.71,18.08,85.47,125934,1:57,-1.91327,29.02271
Kigali,Kicukiro,Nyarugunga,GS Agataramo,2010,27.4,9.64,18.52,76.18,84.88,80.53,9.84,91.86,417623,1:53,-2.17314,30.02798
Kigali,Kicukiro,Kanombe,ES Kigoma,2011,8.49,14.31,11.4,99.0,74.63,86.82,10.75,73.15,529802,1:53,-2.17314,30.02798
Kigali,Kicukiro,Gikondo,GS Agataramo,2012,14.34,17.96,16.15,70.02,84.88,77.45,8.23,67.2,487971,1:53,-2.17314,30.02798
Kigali,Kicukiro,Nyarugunga,GS Matara,2013,26.36,15.94,21.15,98.66,80.1,89.38,6.9,68.95,157108,1:53,-2.17314,30.02798
Kigali,Kicukiro,Gatenga,ES Kigoma,2014,11.08,1.92,6.5,77.44,76.72,77.08,2.57,74.24,324301,1:53,-2.17314,30.02798
Kigali,Kicukiro,Nyarugunga,GS Mubuga,2015,10.57,10.33,10.45,54.61,74.06,64.34,5.54,87.51,359127,1:53,-2.17314,30.02798
Kigali,Kicukiro,Kigarama,New Vision,2016,24.38,22.7,23.54,59.23,60.47,59.85,10.63,74.82,211317,1:53,-2.17314,30.02798
Kigali,Kicukiro,Masaka,GS Rwamagana,2017,21.89,2.81,12.35,57.39,56.66,57.02,8.95,87.49,444982,1:53,-2.17314,30.02798
Kigali,Kicukiro,Kigarama,King David,2018,16.45,8.03,12.24,63.46,68.86,66.16,4.23,60.8,347736,1:53,-2.17314,30.02798
Kigali,Kicukiro,Kanombe,Mater Dei,2019,10.5,4.47,7.49,94.53,79.68,87.1,9.97,87.16,567010,1:53,-2.17314,30.02798
Kigali,Kicukiro,Gahanga,GS Ruramira,2020,3.52,16.58,10.05,79.34,87.27,83.31,6.75,77.27,172274,1:53,-2.17314,30.02798
Kigali,Kicukiro,Kigarama,GS Gitega,2021,27.09,18.62,22.85,62.22,74.91,68.57,0.15,73.21,521240,1:53,-2.17314,30.02798
Kigali,Kicukiro,Nyarugunga,GS Mubuga,2022,7.53,11.6,9.56,74.39,92.54,83.47,17.94,63.52,438269,1:53,-2.17314,30.02798
Kigali,Kicukiro,Kigarama,GS Camp Kigali,2023,3.33,16.21,9.77,70.52,99.12,84.82,19.39,64.48,222177,1:53,-2.17314,30.02798
Kigali,Kicukiro,Gikondo,GS Agataramo,2024,26.1,24.7,25.4,62.9,58.54,60.72,11.14,86.75,334936,1:53,-2.17314,30.02798
Kigali,Kicukiro,Niboye,GS Gahanga I,2010,6.95,29.07,18.01,85.55,59.98,72.76,12.21,89.45,335659,1:41,-1.7711,29.55996
Kigali,Kicukiro,Gatenga,GS Rwamagana,2011,9.37,17.86,13.61,57.72,74.06,65.89,6.73,81.3,382272,1:41,-1.7711,29.55996
Kigali,Kicukiro,Gikondo,GS Kimironko II,2012,4.9,2.84,3.87,99.5,66.12,82.81,0.05,92.39,108512,1:41,-1.7711,29.55996
Kigali,Kicukiro,Masaka,GS Rukomo,2013,4.38,14.72,9.55,80.31,89.71,85.01,2.49,64.27,183524,1:41,-1.7711,29.55996
Kigali,Kicukiro,Kanombe,New Vision,2014,22.2,28.21,25.2,59.06,53.32,56.19,16.56,89.64,143925,1:41,-1.7711,29.55996
Kigali,Kicukiro,Gahanga,Marie Merci,2015,22.76,24.19,23.48,91.26,59.32,75.29,6.32,69.43,493293,1:41,-1.7711,29.55996
Kigali,Kicukiro,Niboye,New Vision,2016,18.06,20.81,19.43,72.6,85.69,79.14,10.8,95.99,435484,1:41,-1.7711,29.55996
Kigali,Kicukiro,Gahanga,King David,2017,13.72,17.75,15.74,67.77,69.57,68.67,4.58,81.27,489940,1:41,-1.7711,29.55996
Kigali,Kicukiro,Kanombe,GS Akumunigo,2018,16.74,13.51,15.13,66.64,86.53,76.58,10.67,87.75,550035,1:41,-1.7711,29.55996
Kigali,Kicukiro,Gatenga,GS Rutongo,2019,26.92,23.87,25.4,57.58,65.59,61.58,0.67,69.94,313942,1:41,-1.7711,29.55996
Kigali,Kicukiro,Gatenga,GS Rutongo,2020,17.53,23.11,20.32,93.84,67.1,80.47,9.14,92.85,254782,1:41,-1.7711,29.55996
Kigali,Kicukiro,Kanombe,GS Cyahafi,2021,18.51,15.57,17.04,76.99,74.32,75.66,0.24,76.36,234828,1:41,-1.7711,29.55996
Kigali,Kicukiro,Gatenga,GS Matara,2022,18.35,17.4,17.88,85.81,79.95,82.88,11.67,93.07,488349,1:41,-1.7711,29.55996
Kigali,Kicukiro,Kigarama,GS Cyahafi,2023,12.62,14.4,13.51,97.36,57.67,77.52,12.23,83.45,225885,1:41,-1.7711,29.55996
Kigali,Kicukiro,Nyarugunga,ES Kigoma,2024,1.53,26.29,13.91,96.61,78.26,87.43,14.14,87.87,160279,1:41,-1.7711,29.55996
Kigali,Kicukiro,Nyarugunga,ES Kigoma,2010,3.0,3.24,3.12,55.21,92.02,73.62,19.7,96.43,134560,1:55,-2.52543,30.15258
Kigali,Kicukiro,Nyarugunga,GS Kinteko,2011,25.33,4.62,14.97,96.04,93.49,94.77,7.59,80.75,481863,1:55,-2.52543,30.15258
Kigali,Kicukiro,Gahanga,GS Gahanga I,2012,22.58,6.96,14.77,89.39,80.19,84.79,17.27,64.57,425875,1:55,-2.52543,30.15258
Kigali,Kicukiro,Kigarama,GS Kimironko II,2013,27.77,14.51,21.14,74.04,95.92,84.98,4.96,83.48,141914,1:55,-2.52543,30.15258
Kigali,Kicukiro,Gahanga,GS Camp Kigali,2014,17.75,5.8,11.78,51.69,65.57,58.63,13.27,91.22,366901,1:55,-2.52543,30.15258
Kigali,Kicukiro,Gikondo,GS Rwanyanza,2015,6.16,28.87,17.52,57.43,70.73,64.08,10.04,63.41,306524,1:55,-2.52543,30.15258
Kigali,Kicukiro,Kanombe,New Vision,2016,18.27,2.95,10.61,87.5,60.5,74.0,0.73,95.92,364223,1:55,-2.52543,30.15258
Kigali,Kicukiro,Niboye,GS Mweya,2017,14.69,17.38,16.04,53.29,88.78,71.03,8.82,78.13,522081,1:55,-2.52543,30.15258
Kigali,Kicukiro,Kanombe,GS Buye,2018,12.62,17.23,14.93,57.76,59.1,58.43,7.47,94.47,402950,1:55,-2.52543,30.15258
Kigali,Kicukiro,Niboye,GS Akumunigo,2019,8.85,19.68,14.26,70.44,51.27,60.85,13.18,66.25,228177,1:55,-2.52543,30.15258
Kigali,Kicukiro,Kigarama,GS Matara,2020,1.79,7.44,4.61,61.55,83.59,72.57,16.0,60.79,549589,1:55,-2.52543,30.15258
Kigali,Kicukiro,Gikondo,GS Mubuga,2021,6.18,19.93,13.05,61.91,54.97,58.44,16.14,69.73,525037,1:55,-2.52543,30.15258
Kigali,Kicukiro,Niboye,Mater Dei,2022,28.92,28.39,28.65,57.05,70.32,63.69,12.66,72.96,147057,1:55,-2.52543,30.15258
Kigali,Kicukiro,Kigarama,GS Ruheru,2023,22.34,25.6,23.97,56.14,93.82,74.98,18.21,85.72,481009,1:55,-2.52543,30.15258
Kigali,Kicukiro,Kigarama,GS Ruramira,2024,19.12,10.74,14.93,91.26,68.15,79.7,6.9,61.37,478387,1:55,-2.52543,30.15258
Kigali,Kicukiro,Gatenga,GS Migongo,2010,9.54,28.51,19.02,88.18,57.01,72.59,16.0,94.74,119063,1:50,-1.4071,29.72552
Kigali,Kicukiro,Nyarugunga,GS Mubuga,2011,13.33,1.65,7.49,63.43,77.08,70.26,2.79,85.34,422918,1:50,-1.4071,29.72552
Kigali,Kicukiro,Gahanga,GS Migongo,2012,25.21,29.55,27.38,76.28,58.58,67.43,18.29,70.89,444138,1:50,-1.4071,29.72552
Kigali,Kicukiro,Gikondo,GS Matara,2013,4.41,17.72,11.07,63.7,77.71,70.71,2.13,86.06,228377,1:50,-1.4071,29.72552
Kigali,Kicukiro,Kanombe,GS Ruramira,2014,5.06,8.65,6.85,63.32,86.61,74.97,9.89,70.03,277900,1:50,-1.4071,29.72552
Kigali,Kicukiro,Gikondo,GS Ruheru,2015,17.63,25.31,21.47,70.22,88.55,79.38,14.76,76.88,579361,1:50,-1.4071,29.72552
Kigali,Kicukiro,Nyarugunga,GS Gitega,2016,3.4,18.49,10.95,62.27,69.46,65.87,14.38,71.55,451743,1:50,-1.4071,29.72552
Kigali,Kicukiro,Masaka,GS Migongo,2017,9.62,17.43,13.52,73.8,83.18,78.49,4.3,97.47,220900,1:50,-1.4071,29.72552
Kigali,Kicukiro,Gikondo,GS Camp Kigali,2018,1.9,8.61,5.25,79.75,52.57,66.16,12.47,79.85,276492,1:50,-1.4071,29.72552
Kigali,Kicukiro,Niboye,GS Ruramira,2019,14.75,10.99,12.87,67.58,70.64,69.11,4.93,88.2,183559,1:50,-1.4071,29.72552
Kigali,Kicukiro,Kanombe,GS Kimironko II,2020,24.75,24.18,24.47,84.73,63.61,74.17,1.83,83.61,151474,1:50,-1.4071,29.72552
Kigali,Kicukiro,Gikondo,GS Akumunigo,2021,27.6,4.97,16.28,97.51,72.3,84.91,15.17,67.41,232413,1:50,-1.4071,29.72552
Kigali,Kicukiro,Niboye,GS Cyahafi,2022,19.53,23.01,21.27,86.21,81.86,84.03,12.93,99.22,286833,1:50,-1.4071,29.72552
Kigali,Kicukiro,Gahanga,GS Cyahafi,2023,21.1,2.5,11.8,83.5,52.21,67.85,11.12,83.53,469040,1:50,-1.4071,29.72552
Kigali,Kicukiro,Niboye,GS Ruramira,2024,14.72,10.07,12.4,56.03,86.55,71.29,8.44,67.7,304615,1:50,-1.4071,29.72552
Kigali,Kicukiro,Gahanga,GS Gitega,2010,25.49,10.25,17.87,91.45,51.85,71.65,17.7,83.85,221826,1:49,-1.36838,30.49013
Kigali,Kicukiro,Nyarugunga,GS Migongo,2011,16.38,13.79,15.08,70.22,78.62,74.42,6.38,92.16,406691,1:49,-1.36838,30.49013
Kigali,Kicukiro,Niboye,GS Kinteko,2012,19.15,26.69,22.92,80.79,61.65,71.22,0.43,60.98,545609,1:49,-1.36838,30.49013
Kigali,Kicukiro,Nyarugunga,ES Kigoma,2013,26.37,16.34,21.35,96.95,89.94,93.45,8.04,99.92,116371,1:49,-1.36838,30.49013
Kigali,Kicukiro,Gikondo,New Vision,2014,14.92,19.2,17.06,93.68,99.2,96.44,10.45,90.73,281144,1:49,-1.36838,30.49013
Kigali,Kicukiro,Gahanga,GS Camp Kigali,2015,22.24,1.1,11.67,73.37,64.85,69.11,0.84,94.11,526129,1:49,-1.36838,30.49013
Kigali,Kicukiro,Gahanga,GS Gahanga I,2016,1.52,29.64,15.58,71.39,69.22,70.3,15.73,87.19,590635,1:49,-1.36838,30.49013
Kigali,Kicukiro,Gahanga,GS Migongo,2017,3.59,13.11,8.35,93.96,97.24,95.6,3.34,78.7,134636,1:49,-1.36838,30.49013
Kigali,Kicukiro,Gikondo,King David,2018,29.74,7.72,18.73,97.14,82.48,89.81,7.68,84.31,595084,1:49,-1.36838,30.49013
Kigali,Kicukiro,Gikondo,GS Kimironko II,2019,2.07,28.76,15.41,91.31,90.04,90.67,10.37,85.19,166262,1:49,-1.36838,30.49013
Kigali,Kicukiro,Masaka,GS Ruheru,2020,18.32,16.23,17.27,63.01,75.76,69.39,16.32,79.65,474999,1:49,-1.36838,30.49013
Kigali,Kicukiro,Gahanga,GS Mweya,2021,7.51,7.49,7.5,76.85,79.65,78.25,7.82,83.2,341249,1:49,-1.36838,30.49013
Kigali,Kicukiro,Masaka,GS Migongo,2022,8.92,14.82,11.87,52.22,92.61,72.41,18.63,61.42,408686,1:49,-1.36838,30.49013
Kigali,Kicukiro,Nyarugunga,New Vision,2023,22.32,9.16,15.74,62.63,50.25,56.44,1.62,87.83,432975,1:49,-1.36838,30.49013
Kigali,Kicukiro,Nyarugunga,Marie Merci,2024,7.39,20.81,14.1,53.81,92.56,73.18,16.49,79.81,477149,1:49,-1.36838,30.49013
Kigali,Nyarugenge,Kigali,GS Rwamagana,2010,26.07,22.28,24.18,76.06,93.41,84.74,6.68,69.81,590042,1:56,-2.17394,30.35603
Kigali,Nyarugenge,Kanyinya,GS Mubuga,2011,7.92,27.97,17.95,55.29,84.95,70.12,0.58,67.57,294692,1:56,-2.17394,30.35603
Kigali,Nyarugenge,Nyakabanda,GS Cyahafi,2012,24.95,4.74,14.84,66.76,87.18,76.97,16.64,66.43,512003,1:56,-2.17394,30.35603
Kigali,Nyarugenge,Nyakabanda,GS Cyahafi,2013,15.72,1.19,8.45,64.35,80.85,72.6,5.2,99.25,528048,1:56,-2.17394,30.35603
Kigali,Nyarugenge,Kigali,GS Mweya,2014,19.39,16.66,18.02,88.99,55.35,72.17,19.26,90.44,129257,1:56,-2.17394,30.35603
Kigali,Nyarugenge,Mageragere,GS Gitega,2015,10.91,19.35,15.13,96.6,55.13,75.86,1.36,97.49,183807,1:56,-2.17394,30.35603
Kigali,Nyarugenge,Mageragere,GS Ruheru,2016,9.73,21.54,15.63,53.37,79.11,66.24,0.91,73.84,383097,1:56,-2.17394,30.35603
Kigali,Nyarugenge,Nyamirambo,GS Rukomo,2017,26.27,29.23,27.75,98.44,87.48,92.96,1.31,65.2,462876,1:56,-2.17394,30.35603
Kigali,Nyarugenge,Nyamirambo,GS Agataramo,2018,24.82,11.78,18.3,90.94,62.63,76.78,19.94,60.04,111745,1:56,-2.17394,30.35603
Kigali,Nyarugenge,Kigali,GS Rwanyanza,2019,13.36,14.09,13.72,58.18,89.74,73.96,15.46,87.75,385555,1:56,-2.17394,30.35603
Kigali,Nyarugenge,Kigali,GS Agataramo,2020,7.67,4.81,6.24,93.4,98.16,95.78,18.19,61.25,395900,1:56,-2.17394,30.35603
Kigali,Nyarugenge,Nyarugenge,Marie Merci,2021,25.86,28.97,27.42,88.0,72.11,80.06,4.6,72.48,375001,1:56,-2.17394,30.35603
Kigali,Nyarugenge,Kanyinya,GS Mweya,2022,7.18,1.9,4.54,82.58,68.43,75.5,3.18,94.57,380783,1:56,-2.17394,30.35603
Kigali,Nyarugenge,Kigali,GS Migongo,2023,6.91,3.64,5.28,57.68,72.68,65.18,15.94,81.21,270182,1:56,-2.17394,30.35603
Kigali,Nyarugenge,Kimisagara,GS Gahanga I,2024,9.53,27.44,18.49,98.38,59.27,78.82,2.5,78.48,147837,1:56,-2.17394,30.35603
Kigali,Nyarugenge,Nyamirambo,GS Akumunigo,2010,7.54,5.66,6.6,82.58,66.3,74.44,0.23,83.61,182503,1:35,-1.56598,29.86061
Kigali,Nyarugenge,Rwezamenyo,GS Mubuga,2011,3.1,12.38,7.74,74.0,80.0,77.0,17.2,71.67,252876,1:35,-1.56598,29.86061
Kigali,Nyarugenge,Kimisagara,GS Kinteko,2012,23.62,2.15,12.88,74.03,55.25,64.64,12.36,69.68,487960,1:35,-1.56598,29.86061
Kigali,Nyarugenge,Mageragere,GS Agataramo,2013,21.37,17.23,19.3,50.49,66.32,58.41,7.01,80.71,520640,1:35,-1.56598,29.86061
Kigali,Nyarugenge,Muhima,GS Kimironko II,2014,1.96,3.28,2.62,69.85,56.64,63.24,16.43,82.7,150861,1:35,-1.56598,29.86061
Kigali,Nyarugenge,Kigali,GS Ruheru,2015,2.19,20.44,11.32,97.58,56.21,76.89,12.33,95.85,315048,1:35,-1.56598,29.86061
Kigali,Nyarugenge,Gitega,GS Rwamagana,2016,18.78,9.67,14.22,96.76,97.37,97.06,13.22,85.01,518899,1:35,-1.56598,29.86061
Kigali,Nyarugenge,Rwezamenyo,Mater Dei,2017,17.04,18.33,17.68,89.19,74.05,81.62,1.21,61.63,353627,1:35,-1.56598,29.86061
Kigali,Nyarugenge,Gitega,GS Gitega,2018,8.17,5.63,6.9,93.59,60.96,77.27,17.44,99.03,545795,1:35,-1.56598,29.86061
