Province,District,School_Name,Year,Overall_Dropout_Percentage,Male_Dropout_Percentage,Female_Dropout_Percentage,Completion_Total,Attendance_Rate,Avg_Household_Income_RWF,Region_Type,Dropout_Risk_Level,Dropout_Risk_Prediction,Dropout_Risk_Probability
Kigali,Gasabo,GS Rwamagana,2010,16.51,17.73,15.28,72.94,71.23,202946,Urban,High Risk,1,0.8146009359136726
Kigali,Gasabo,Marie Merci,2011,22.24,29.84,14.63,79.08,89.91,395972,Urban,High Risk,1,0.9468465729734378
Kigali,Gasabo,GS Mweya,2012,17.31,17.03,17.6,76.39,72.23,594495,Urban,High Risk,1,0.8800220392451081
Kigali,Gasabo,GS Cyahafi,2013,13.44,15.07,11.81,80.97,97.2,545101,Urban,Low Risk,0,0.08643533951507087
Kigali,Gasabo,GS Nyacyina,2014,15.93,20.46,11.4,63.74,72.9,258823,Urban,High Risk,1,0.8554967293800354
Kigali,Gasabo,King David,2015,19.3,21.56,17.03,67.91,70.25,372791,Urban,High Risk,1,0.9833975835854681
Kigali,Gasabo,GS Rukomo,2016,22.0,24.15,19.85,87.44,95.6,548982,Urban,High Risk,1,0.9193528693528694
Kigali,Gasabo,GS Rutongo,2017,9.91,17.77,2.04,75.21,71.46,155609,Urban,Low Risk,0,0.10041184449127603
Kigali,Gasabo,GS Ruramira,2018,5.96,2.13,9.79,71.59,93.11,351451,Urban,Low Risk,0,0.048011179272453734
Kigali,Gasabo,GS Rwamagana,2019,16.03,25.42,6.64,77.77,65.53,336175,Urban,High Risk,1,0.6253592473529134
Kigali,Gasabo,GS Rukomo,2020,17.21,10.37,24.06,67.75,63.14,452996,Urban,High Risk,1,0.938836449602407
Kigali,Gasabo,GS Rutongo,2021,17.19,13.42,20.97,74.34,77.69,277247,Urban,High Risk,1,0.8975120351335596
Kigali,Gasabo,GS Matara,2022,14.63,20.15,9.12,92.32,82.17,213429,Urban,Low Risk,0,0.4929231300165087
Kigali,Gasabo,GS Camp Kigali,2023,11.51,17.42,5.6,61.55,63.67,275150,Urban,Low Risk,0,0.04094899273134602
Kigali,Gasabo,New Vision,2024,17.75,29.41,6.08,69.51,92.28,584963,Urban,High Risk,1,0.8489616996801972
Kigali,Gasabo,GS Mubuga,2010,10.87,19.42,2.31,75.01,80.13,291232,Urban,Low Risk,0,0.040350986568034666
Kigali,Gasabo,New Vision,2011,4.39,5.73,3.05,66.72,83.43,291962,Urban,Low Risk,0,0.0179009855210388
Kigali,Gasabo,GS Matara,2012,15.96,12.26,19.66,75.1,97.66,599522,Urban,High Risk,0,0.46507922987804784
Kigali,Gasabo,GS Ruheru,2013,16.97,27.26,6.68,54.25,60.73,454802,Urban,High Risk,1,0.8849431818181819
Kigali,Gasabo,New Vision,2014,6.66,3.06,10.25,71.7,92.58,382502,Urban,Low Risk,0,0.030425610429531944
Kigali,Gasabo,GS Matara,2015,19.63,11.1,28.16,61.43,98.7,406569,Urban,High Risk,1,0.8751717571019952
Kigali,Gasabo,ES Kigoma,2016,27.06,24.4,29.72,69.62,91.06,552247,Urban,High Risk,1,0.9846699026206417
Kigali,Gasabo,GS Agataramo,2017,19.67,25.89,13.44,87.64,64.12,474032,Urban,High Risk,1,0.940923462579688
Kigali,Gasabo,GS Mweya,2018,17.62,24.97,10.28,82.12,60.43,566152,Urban,High Risk,1,0.9119444444444444
Kigali,Gasabo,GS Nyacyina,2019,19.41,10.26,28.55,88.1,85.27,449044,Urban,High Risk,1,0.9032871551485343
Kigali,Gasabo,GS Migongo,2020,15.52,10.53,20.5,88.6,91.58,184076,Urban,High Risk,1,0.7984009814069388
Kigali,Gasabo,GS Ruramira,2021,9.8,2.67,16.94,83.23,74.04,106801,Urban,Low Risk,0,0.03049356994083775
Kigali,Gasabo,GS Gitega,2022,11.43,18.93,3.93,69.63,62.91,455249,Urban,Low Risk,0,0.10710179012206027
Kigali,Gasabo,New Vision,2023,16.54,3.46,29.61,68.62,92.51,551070,Urban,High Risk,1,0.8441116427432216
Kigali,Gasabo,GS Rwanyanza,2024,17.38,22.85,11.91,71.52,82.34,218874,Urban,High Risk,1,0.8427676512676514
Kigali,Gasabo,GS Rwanyanza,2010,20.03,17.57,22.49,89.75,89.77,139298,Urban,High Risk,1,0.9817893205705707
Kigali,Gasabo,GS Akumunigo,2011,17.74,9.29,26.19,79.67,60.49,229695,Urban,High Risk,1,0.9307764907764908
Kigali,Gasabo,GS Mweya,2012,27.73,27.81,27.65,73.71,63.02,433870,Urban,High Risk,1,0.9982417582417582
Kigali,Gasabo,GS Nyacyina,2013,19.71,9.54,29.88,77.03,89.48,500330,Urban,High Risk,1,0.9539968531321255
Kigali,Gasabo,GS Agataramo,2014,7.42,4.1,10.73,70.41,75.53,205787,Urban,Low Risk,0,0.012239082561255414
Kigali,Gasabo,Marie Merci,2015,9.99,11.45,8.54,62.14,71.19,417428,Urban,Low Risk,0,0.017319190976429203
Kigali,Gasabo,GS Ruramira,2016,6.86,8.86,4.86,75.42,76.67,563556,Urban,Low Risk,0,0.024611876144930454
Kigali,Gasabo,GS Rwamagana,2017,27.08,28.05,26.12,51.79,75.06,127712,Urban,High Risk,1,0.9964341085271319
Kigali,Gasabo,Marie Merci,2018,11.8,5.36,18.23,83.77,93.68,408684,Urban,Low Risk,0,0.0483561832016085
Kigali,Gasabo,GS Mubuga,2019,10.98,13.03,8.93,73.03,92.52,460286,Urban,Low Risk,0,0.11856400834331868
Kigali,Gasabo,GS Kinteko,2020,20.2,17.11,23.3,94.86,69.89,549613,Urban,High Risk,1,0.9309236947791164
Kigali,Gasabo,King David,2021,23.62,28.67,18.58,72.51,84.73,136187,Urban,High Risk,1,0.9532417582417583
Kigali,Gasabo,Marie Merci,2022,15.13,15.45,14.81,78.48,92.66,436107,Urban,Low Risk,0,0.17565336852332986
Kigali,Gasabo,ES Kigoma,2023,21.04,23.96,18.11,72.51,91.39,439853,Urban,High Risk,1,0.9783864862426291
Kigali,Gasabo,GS Rwamagana,2024,23.05,27.19,18.9,89.71,85.47,125934,Urban,High Risk,1,0.9892400932400932
Kigali,Kicukiro,GS Agataramo,2010,18.52,27.4,9.64,80.53,91.86,417623,Urban,High Risk,1,0.9172781269451229
Kigali,Kicukiro,ES Kigoma,2011,11.4,8.49,14.31,86.82,73.15,529802,Urban,Low Risk,0,0.03667384034612911
Kigali,Kicukiro,GS Agataramo,2012,16.15,14.34,17.96,77.45,67.2,487971,Urban,High Risk,1,0.874363749378878
Kigali,Kicukiro,GS Matara,2013,21.15,26.36,15.94,89.38,68.95,157108,Urban,High Risk,1,0.9828939393939393
Kigali,Kicukiro,ES Kigoma,2014,6.5,11.08,1.92,77.08,74.24,324301,Urban,Low Risk,0,0.07487948593687382
Kigali,Kicukiro,GS Mubuga,2015,10.45,10.57,10.33,64.34,87.51,359127,Urban,Low Risk,0,0.07443556776704231
Kigali,Kicukiro,New Vision,2016,23.54,24.38,22.7,59.85,74.82,211317,Urban,High Risk,1,0.9906333333065453
Kigali,Kicukiro,GS Rwamagana,2017,12.35,21.89,2.81,57.02,87.49,444982,Urban,Low Risk,0,0.12607087226905211
Kigali,Kicukiro,King David,2018,12.24,16.45,8.03,66.16,60.8,347736,Urban,Low Risk,0,0.10577091539935786
Kigali,Kicukiro,Mater Dei,2019,7.49,10.5,4.47,87.1,87.16,567010,Urban,Low Risk,0,0.027702517331324658
Kigali,Kicukiro,GS Ruramira,2020,10.05,3.52,16.58,83.31,77.27,172274,Urban,Low Risk,0,0.058386159875778436
Kigali,Kicukiro,GS Gitega,2021,22.85,27.09,18.62,68.57,73.21,521240,Urban,High Risk,1,0.9585714285714286
Kigali,Kicukiro,GS Mubuga,2022,9.56,7.53,11.6,83.47,63.52,438269,Urban,Low Risk,0,0.01826853178953863
Kigali,Kicukiro,GS Camp Kigali,2023,9.77,3.33,16.21,84.82,64.48,222177,Urban,Low Risk,0,0.043160471934193236
Kigali,Kicukiro,GS Agataramo,2024,25.4,26.1,24.7,60.72,86.75,334936,Urban,High Risk,1,0.9861220440013544
Kigali,Kicukiro,GS Gahanga I,2010,18.01,6.95,29.07,72.76,89.45,335659,Urban,High Risk,1,0.9038481418416948
Kigali,Kicukiro,GS Rwamagana,2011,13.61,9.37,17.86,65.89,81.3,382272,Urban,Low Risk,0,0.14697612452129513
Kigali,Kicukiro,GS Kimironko II,2012,3.87,4.9,2.84,82.81,92.39,108512,Urban,Low Risk,0,0.021540813905952
Kigali,Kicukiro,GS Rukomo,2013,9.55,4.38,14.72,85.01,64.27,183524,Urban,Low Risk,0,0.033270002656910325
Kigali,Kicukiro,New Vision,2014,25.2,22.2,28.21,56.19,89.64,143925,Urban,High Risk,1,0.9656461004273504
Kigali,Kicukiro,Marie Merci,2015,23.48,22.76,24.19,75.29,69.43,493293,Urban,High Risk,1,0.986316900346751
Kigali,Kicukiro,New Vision,2016,19.43,18.06,20.81,79.14,95.99,435484,Urban,High Risk,1,0.9019392956635
Kigali,Kicukiro,King David,2017,15.74,13.72,17.75,68.67,81.27,489940,Urban,High Risk,1,0.8694632965957547
Kigali,Kicukiro,GS Akumunigo,2018,15.13,16.74,13.51,76.58,87.75,550035,Urban,Low Risk,0,0.18424202705158887
Kigali,Kicukiro,GS Rutongo,2019,25.4,26.92,23.87,61.58,69.94,313942,Urban,High Risk,1,0.9876053908355794
Kigali,Kicukiro,GS Rutongo,2020,20.32,17.53,23.11,80.47,92.85,254782,Urban,High Risk,1,0.941278792731573
Kigali,Kicukiro,GS Cyahafi,2021,17.04,18.51,15.57,75.66,76.36,234828,Urban,High Risk,1,0.6966392458624303
Kigali,Kicukiro,GS Matara,2022,17.88,18.35,17.4,82.88,93.07,488349,Urban,High Risk,1,0.8955787011303131
Kigali,Kicukiro,GS Cyahafi,2023,13.51,12.62,14.4,77.52,83.45,225885,Urban,Low Risk,0,0.05646250659527927
Kigali,Kicukiro,ES Kigoma,2024,13.91,1.53,26.29,87.43,87.87,160279,Urban,Low Risk,0,0.1411267346565854
Kigali,Kicukiro,ES Kigoma,2010,3.12,3.0,3.24,73.62,96.43,134560,Urban,Low Risk,0,0.020777098704078904
Kigali,Kicukiro,GS Kinteko,2011,14.97,25.33,4.62,94.77,80.75,481863,Urban,Low Risk,0,0.1752399467601907
Kigali,Kicukiro,GS Gahanga I,2012,14.77,22.58,6.96,84.79,64.57,425875,Urban,Low Risk,0,0.17429673641898774
Kigali,Kicukiro,GS Kimironko II,2013,21.14,27.77,14.51,84.98,83.48,141914,Urban,High Risk,1,0.992034272034272
Kigali,Kicukiro,GS Camp Kigali,2014,11.78,17.75,5.8,58.63,91.22,366901,Urban,Low Risk,0,0.14887008482263278
Kigali,Kicukiro,GS Rwanyanza,2015,17.52,6.16,28.87,64.08,63.41,306524,Urban,High Risk,1,0.918523095353284
Kigali,Kicukiro,New Vision,2016,10.61,18.27,2.95,74.0,95.92,364223,Urban,Low Risk,0,0.1420230221399619
Kigali,Kicukiro,GS Mweya,2017,16.04,14.69,17.38,71.03,78.13,522081,Urban,High Risk,1,0.8056805098574031
Kigali,Kicukiro,GS Buye,2018,14.93,12.62,17.23,58.43,94.47,402950,Urban,Low Risk,0,0.1931855322499324
Kigali,Kicukiro,GS Akumunigo,2019,14.26,8.85,19.68,60.85,66.25,228177,Urban,Low Risk,0,0.08889600309688142
Kigali,Kicukiro,GS Matara,2020,4.61,1.79,7.44,72.57,60.79,549589,Urban,Low Risk,0,0.03365653840408512
Kigali,Kicukiro,GS Mubuga,2021,13.05,6.18,19.93,58.44,69.73,525037,Urban,Low Risk,0,0.12523614188380922
Kigali,Kicukiro,Mater Dei,2022,28.65,28.92,28.39,63.69,72.96,147057,Urban,High Risk,1,0.985521934679474
Kigali,Kicukiro,GS Ruheru,2023,23.97,22.34,25.6,74.98,85.72,481009,Urban,High Risk,1,0.9630658146269155
Kigali,Kicukiro,GS Ruramira,2024,14.93,19.12,10.74,79.7,61.37,478387,Urban,Low Risk,0,0.35512612673029964
Kigali,Kicukiro,GS Migongo,2010,19.02,9.54,28.51,72.59,94.74,119063,Urban,High Risk,1,0.9246935172670466
Kigali,Kicukiro,GS Mubuga,2011,7.49,13.33,1.65,70.26,85.34,422918,Urban,Low Risk,0,0.07175058415325183
Kigali,Kicukiro,GS Migongo,2012,27.38,25.21,29.55,67.43,70.89,444138,Urban,High Risk,1,0.9931284687534688
Kigali,Kicukiro,GS Matara,2013,11.07,4.41,17.72,70.71,86.06,228377,Urban,Low Risk,0,0.06900372242488811
Kigali,Kicukiro,GS Ruramira,2014,6.85,5.06,8.65,74.97,70.03,277900,Urban,Low Risk,0,0.029038183474306426
Kigali,Kicukiro,GS Ruheru,2015,21.47,17.63,25.31,79.38,76.88,579361,Urban,High Risk,1,0.9481334689856088
Kigali,Kicukiro,GS Gitega,2016,10.95,3.4,18.49,65.87,71.55,451743,Urban,Low Risk,0,0.08938605501521295
Kigali,Kicukiro,GS Migongo,2017,13.52,9.62,17.43,78.49,97.47,220900,Urban,Low Risk,0,0.12662958066132296
Kigali,Kicukiro,GS Camp Kigali,2018,5.25,1.9,8.61,66.16,79.85,276492,Urban,Low Risk,0,0.03259375667909612
Kigali,Kicukiro,GS Ruramira,2019,12.87,14.75,10.99,69.11,88.2,183559,Urban,Low Risk,0,0.11869414425351472
Kigali,Kicukiro,GS Kimironko II,2020,24.47,24.75,24.18,74.17,83.61,151474,Urban,High Risk,1,0.994524297924298
Kigali,Kicukiro,GS Akumunigo,2021,16.28,27.6,4.97,84.91,67.41,232413,Urban,High Risk,1,0.8148319938950621
Kigali,Kicukiro,GS Cyahafi,2022,21.27,19.53,23.01,84.03,99.22,286833,Urban,High Risk,1,0.9406791725143147
Kigali,Kicukiro,GS Cyahafi,2023,11.8,21.1,2.5,67.85,83.53,469040,Urban,Low Risk,0,0.06154581254290545
Kigali,Kicukiro,GS Ruramira,2024,12.4,14.72,10.07,71.29,67.7,304615,Urban,Low Risk,0,0.05051315835937185
Kigali,Kicukiro,GS Gitega,2010,17.87,25.49,10.25,71.65,83.85,221826,Urban,High Risk,1,0.898817065029389
Kigali,Kicukiro,GS Migongo,2011,15.08,16.38,13.79,74.42,92.16,406691,Urban,Low Risk,0,0.18852022279159766
Kigali,Kicukiro,GS Kinteko,2012,22.92,19.15,26.69,71.22,60.98,545609,Urban,High Risk,1,0.9178021978021976
Kigali,Kicukiro,ES Kigoma,2013,21.35,26.37,16.34,93.45,99.92,116371,Urban,High Risk,1,0.9322649572649573
Kigali,Kicukiro,New Vision,2014,17.06,14.92,19.2,96.44,90.73,281144,Urban,High Risk,1,0.8548306896297507
Kigali,Kicukiro,GS Camp Kigali,2015,11.67,22.24,1.1,69.11,94.11,526129,Urban,Low Risk,0,0.1504665207582992
Kigali,Kicukiro,GS Gahanga I,2016,15.58,1.52,29.64,70.3,87.19,590635,Urban,High Risk,1,0.7810968797284586
Kigali,Kicukiro,GS Migongo,2017,8.35,3.59,13.11,95.6,78.7,134636,Urban,Low Risk,0,0.061731376358448185
Kigali,Kicukiro,King David,2018,18.73,29.74,7.72,89.81,84.31,595084,Urban,High Risk,1,0.9376499953520502
Kigali,Kicukiro,GS Kimironko II,2019,15.41,2.07,28.76,90.67,85.19,166262,Urban,High Risk,1,0.7742984363674019
Kigali,Kicukiro,GS Ruheru,2020,17.27,18.32,16.23,69.39,79.65,474999,Urban,High Risk,1,0.7208809532902866
Kigali,Kicukiro,GS Mweya,2021,7.5,7.51,7.49,78.25,83.2,341249,Urban,Low Risk,0,0.04964344843332585
Kigali,Kicukiro,GS Migongo,2022,11.87,8.92,14.82,72.41,61.42,408686,Urban,Low Risk,0,0.08359700153360064
Kigali,Kicukiro,New Vision,2023,15.74,22.32,9.16,56.44,87.83,432975,Urban,High Risk,1,0.8966613457144029
Kigali,Kicukiro,Marie Merci,2024,14.1,7.39,20.81,73.18,79.81,477149,Urban,Low Risk,0,0.24736062734558648
Kigali,Nyarugenge,GS Rwamagana,2010,24.18,26.07,22.28,84.74,69.81,590042,Urban,High Risk,1,0.98022132925118
Kigali,Nyarugenge,GS Mubuga,2011,17.95,7.92,27.97,70.12,67.57,294692,Urban,High Risk,1,0.836328477654372
Kigali,Nyarugenge,GS Cyahafi,2012,14.84,24.95,4.74,76.97,66.43,512003,Urban,Low Risk,0,0.1731286517278046
Kigali,Nyarugenge,GS Cyahafi,2013,8.45,15.72,1.19,72.6,99.25,528048,Urban,Low Risk,0,0.07242237720844981
Kigali,Nyarugenge,GS Mweya,2014,18.02,19.39,16.66,72.17,90.44,129257,Urban,High Risk,1,0.8978169889421781
Kigali,Nyarugenge,GS Gitega,2015,15.13,10.91,19.35,75.86,97.49,183807,Urban,Low Risk,0,0.2518017874239184
Kigali,Nyarugenge,GS Ruheru,2016,15.63,9.73,21.54,66.24,73.84,383097,Urban,High Risk,1,0.8787916304430717
Kigali,Nyarugenge,GS Rukomo,2017,27.75,26.27,29.23,92.96,65.2,462876,Urban,High Risk,1,0.9931923076923077
Kigali,Nyarugenge,GS Agataramo,2018,18.3,24.82,11.78,76.78,60.04,111745,Urban,High Risk,1,0.937430133174319
Kigali,Nyarugenge,GS Rwanyanza,2019,13.72,13.36,14.09,73.96,87.75,385555,Urban,Low Risk,0,0.03154819423889346
Kigali,Nyarugenge,GS Agataramo,2020,6.24,7.67,4.81,95.78,61.25,395900,Urban,Low Risk,0,0.021811769639002755
Kigali,Nyarugenge,Marie Merci,2021,27.42,25.86,28.97,80.06,72.48,375001,Urban,High Risk,1,0.9981407481407482
Kigali,Nyarugenge,GS Mweya,2022,4.54,7.18,1.9,75.5,94.57,380783,Urban,Low Risk,0,0.04219353988637103
Kigali,Nyarugenge,GS Migongo,2023,5.28,6.91,3.64,65.18,81.21,270182,Urban,Low Risk,0,0.018905438061010468
Kigali,Nyarugenge,GS Gahanga I,2024,18.49,9.53,27.44,78.82,78.48,147837,Urban,High Risk,1,0.9061313686313688
Kigali,Nyarugenge,GS Akumunigo,2010,6.6,7.54,5.66,74.44,83.61,182503,Urban,Low Risk,0,0.025040430353913668
Kigali,Nyarugenge,GS Mubuga,2011,7.74,3.1,12.38,77.0,71.67,252876,Urban,Low Risk,0,0.02371475654442154
Kigali,Nyarugenge,GS Kinteko,2012,12.88,23.62,2.15,64.64,69.68,487960,Urban,Low Risk,0,0.10144230214311356
Kigali,Nyarugenge,GS Agataramo,2013,19.3,21.37,17.23,58.41,80.71,520640,Urban,High Risk,1,0.9549438222506561
Kigali,Nyarugenge,GS Kimironko II,2014,2.62,1.96,3.28,63.24,82.7,150861,Urban,Low Risk,0,0.00503061515066843
Kigali,Nyarugenge,GS Ruheru,2015,11.32,2.19,20.44,76.89,95.85,315048,Urban,Low Risk,0,0.13059353737259197
Kigali,Nyarugenge,GS Rwamagana,2016,14.22,18.78,9.67,97.06,85.01,518899,Urban,Low Risk,0,0.11033248185893822
Kigali,Nyarugenge,Mater Dei,2017,17.68,17.04,18.33,81.62,61.63,353627,Urban,High Risk,1,0.92871529053882
Kigali,Nyarugenge,GS Gitega,2018,6.9,8.17,5.63,77.27,99.03,545795,Urban,Low Risk,0,0.02974896657091205
Kigali,Nyarugenge,GS Nyacyina,2019,7.92,13.58,2.27,54.56,86.13,268484,Urban,Low Risk,0,0.042921365914786964
Kigali,Nyarugenge,King David,2020,13.32,19.86,6.79,68.81,61.23,591872,Urban,Low Risk,0,0.10940098530565275
Kigali,Nyarugenge,GS Cyahafi,2021,24.13,26.18,22.09,79.2,73.84,388107,Urban,High Risk,1,0.9850008136556645
Kigali,Nyarugenge,GS Buye,2022,16.33,16.76,15.91,65.44,75.82,570755,Urban,High Risk,1,0.5754459547872891
Kigali,Nyarugenge,Mater Dei,2023,22.0,24.0,20.0,81.9,74.37,349474,Urban,High Risk,1,0.9538250416240784
Kigali,Nyarugenge,GS Cyahafi,2024,13.54,22.26,4.82,90.62,67.19,297133,Urban,Low Risk,0,0.15250542588042587
Kigali,Nyarugenge,GS Nyacyina,2010,8.29,3.82,12.75,79.31,86.5,300422,Urban,Low Risk,0,0.03424791997985091
Kigali,Nyarugenge,GS Mubuga,2011,11.31,10.05,12.57,71.68,83.54,448619,Urban,Low Risk,0,0.06616800996639688
Kigali,Nyarugenge,GS Rwanyanza,2012,7.84,7.87,7.81,83.14,73.24,302332,Urban,Low Risk,0,0.034487452188020476
Kigali,Nyarugenge,GS Nyacyina,2013,13.55,8.21,18.9,71.85,66.7,316184,Urban,Low Risk,0,0.1319123578748608
Kigali,Nyarugenge,GS Ruramira,2014,20.07,16.47,23.67,78.79,94.57,249381,Urban,High Risk,1,0.9583189654687351
Kigali,Nyarugenge,GS Kimironko II,2015,9.53,2.66,16.4,74.4,64.88,317285,Urban,Low Risk,0,0.07145935911557297
Kigali,Nyarugenge,GS Ruheru,2016,12.94,10.17,15.71,54.75,99.47,232311,Urban,Low Risk,0,0.08744511799590654
Kigali,Nyarugenge,GS Akumunigo,2017,23.52,29.22,17.82,69.4,73.71,179141,Urban,High Risk,1,0.9792193072838233
Kigali,Nyarugenge,GS Akumunigo,2018,5.01,4.85,5.16,91.82,66.5,223008,Urban,Low Risk,0,0.01477202287131078
Kigali,Nyarugenge,Marie Merci,2019,20.02,13.87,26.18,71.74,93.52,246649,Urban,High Risk,1,0.9454406049046513
Kigali,Nyarugenge,GS Mubuga,2020,25.58,25.1,26.07,72.04,91.82,523875,Urban,High Risk,1,0.9918020987826885
Kigali,Nyarugenge,Marie Merci,2021,26.63,28.29,24.98,81.1,73.94,562785,Urban,High Risk,1,0.9816576706875214
Kigali,Nyarugenge,GS Nyacyina,2022,18.18,10.23,26.13,93.64,63.62,578366,Urban,High Risk,1,0.8670237362637363
Kigali,Nyarugenge,GS Gahanga I,2023,21.53,19.86,23.19,84.1,96.06,458796,Urban,High Risk,1,0.9389021484319993
Kigali,Nyarugenge,GS Kinteko,2024,19.05,26.2,11.89,73.65,73.14,451296,Urban,High Risk,1,0.9211102238911466
Kigali,Nyarugenge,GS Nyacyina,2010,9.86,7.89,11.82,57.51,84.14,553449,Urban,Low Risk,0,0.07555371179451408
Kigali,Nyarugenge,GS Nyacyina,2011,19.03,12.01,26.04,74.96,61.03,363321,Urban,High Risk,1,0.9491680861631494
Kigali,Nyarugenge,New Vision,2012,15.2,12.57,17.82,78.54,90.6,312781,Urban,Low Risk,0,0.4392155202973617
Kigali,Nyarugenge,GS Migongo,2013,20.48,16.12,24.85,83.19,62.85,401454,Urban,High Risk,1,0.9401073610020706
Kigali,Nyarugenge,GS Gitega,2014,9.37,12.02,6.72,66.84,66.65,281187,Urban,Low Risk,0,0.052937245814864566
Kigali,Nyarugenge,GS Nyacyina,2015,17.1,9.91,24.29,71.26,84.41,470321,Urban,High Risk,1,0.9596087878015956
Kigali,Nyarugenge,GS Cyahafi,2016,8.76,12.99,4.53,71.56,67.26,172588,Urban,Low Risk,0,0.03258793254643365
Kigali,Nyarugenge,GS Mubuga,2017,15.19,24.01,6.37,83.56,63.48,421333,Urban,Low Risk,0,0.39694636245107906
Kigali,Nyarugenge,GS Rukomo,2018,10.26,16.27,4.26,66.01,80.61,240507,Urban,Low Risk,0,0.02490259364723879
Kigali,Nyarugenge,GS Rutongo,2019,12.91,19.75,6.07,81.67,90.8,332601,Urban,Low Risk,0,0.11120434432137617
Kigali,Nyarugenge,GS Migongo,2020,23.96,22.23,25.68,87.02,90.67,296553,Urban,High Risk,1,0.9769483994106629
Kigali,Nyarugenge,GS Buye,2021,6.63,5.44,7.82,83.55,81.41,534837,Urban,Low Risk,0,0.02082105918876414
Kigali,Nyarugenge,GS Kimironko II,2022,17.73,18.61,16.85,65.57,83.78,369565,Urban,High Risk,1,0.9221556553677794
